date,serial_number,model,capacity_bytes,failure,smart_5_normalized,smart_187_normalized,smart_188_normalized,smart_197_normalized,smart_198_normalized
14/2/2019,S2ZYJ9GF302349,ST500LM012 HN,5.00E+11,1,252,,,252,252
14/2/2019,ZJV0WBVF,ST12000NM0007,1.20E+13,1,100,100,100,100,100
14/2/2019,ZJV00CJB,ST12000NM0007,1.20E+13,1,100,100,100,100,100
14/2/2019,96HCTBI6T,TOSHIBA MQ01ABF050,5.00E+11,1,100,,,100,100
14/2/2019,ZA12KYZZ,ST8000DM002,8.00E+12,1,100,100,100,100,100
14/2/2019,ZCH0BTEP,ST12000NM0007,1.20E+13,1,100,100,100,100,100
14/2/2019,ZCH07ERS,ST12000NM0007,1.20E+13,1,90,95,100,100,100
15/2/2019,ZCH068EH,ST12000NM0007,1.20E+13,1,96,84,100,100,100
15/2/2019,S2ZYJ9CG108675,ST500LM012 HN,5.00E+11,1,252,,,252,252
15/2/2019,Z304HV83,ST4000DM000,4.00E+12,1,100,100,100,100,100
15/2/2019,ZJV2FPXG,ST12000NM0007,1.20E+13,1,100,100,100,100,100
15/2/2019,ZA12Q5WX,ST8000DM002,8.00E+12,1,100,100,100,100,100
16/2/2019,Z304HTKM,ST4000DM000,4.00E+12,1,100,100,100,100,100
16/2/2019,ZA11PYLG,ST8000DM002,8.00E+12,1,100,100,100,100,100
17/2/2019,ZCH0C1SC,ST12000NM0007,1.20E+13,1,100,62,100,100,100
17/2/2019,ZA13YAZR,ST8000DM002,8.00E+12,1,100,61,100,100,100
17/2/2019,ZJV00W03,ST12000NM0007,1.20E+13,1,100,96,100,100,100
17/2/2019,ZA21ELDL,ST10000NM0086,1.00E+13,1,100,98,100,100,100
18/2/2019,ZA11LZSP,ST8000DM002,8.00E+12,1,100,100,100,100,100
18/2/2019,S300XCAB,ST4000DM000,4.00E+12,1,100,100,100,100,100
18/2/2019,ZCH06ZR3,ST12000NM0007,1.20E+13,1,90,1,100,100,100
18/2/2019,Z30251BE,ST4000DM000,4.00E+12,1,100,100,100,91,91
19/2/2019,ZA13F7AV,ST8000NM0055,8.00E+12,1,100,100,100,100,100
19/2/2019,96HCTBHWT,TOSHIBA MQ01ABF050,5.00E+11,1,100,,,100,100
19/2/2019,ZCH06TH0,ST12000NM0007,1.20E+13,1,97,88,100,100,100
20/2/2019,ZA12HANQ,ST8000DM002,8.00E+12,1,99,93,100,100,100
20/2/2019,ZJV2EF1S,ST12000NM0007,1.20E+13,1,100,100,100,100,100
21/2/2019,Z302T6J5,ST4000DM000,4.00E+12,1,100,66,100,100,100
21/2/2019,ZJV01Y53,ST12000NM0007,1.20E+13,1,100,100,100,100,100
21/2/2019,ZJV0T5EY,ST12000NM0007,1.20E+13,1,100,100,100,100,100
21/2/2019,Z3029AR3,ST4000DM000,4.00E+12,1,100,100,100,100,100
21/2/2019,ZCH0BWRA,ST12000NM0007,1.20E+13,1,100,99,100,100,100
22/2/2019,ZA16DSXV,ST8000NM0055,8.00E+12,1,100,100,100,100,100
22/2/2019,VKHA46BX,HGST HUH728080ALE600,8.00E+12,1,100,,,100,100
22/2/2019,WD-WX71A94LDZS4,WDC WD5000LPVX,5.00E+11,1,200,,,200,100
22/2/2019,ZCH0CK24,ST12000NM0007,1.20E+13,1,100,100,100,100,100
23/2/2019,S301GM66,ST4000DM000,4.00E+12,1,100,100,100,100,100
23/2/2019,ZCH07WTA,ST12000NM0007,1.20E+13,1,100,91,100,100,100
23/2/2019,ZCH07NG3,ST12000NM0007,1.20E+13,1,82,100,100,100,100
24/2/2019,ZCH07T7C,ST12000NM0007,1.20E+13,1,100,98,100,100,100
24/2/2019,S300ZQVL,ST4000DM000,4.00E+12,1,100,99,100,100,100
24/2/2019,ZA1818HP,ST8000NM0055,8.00E+12,1,100,85,100,100,100
24/2/2019,Z30513PV,ST4000DM000,4.00E+12,1,100,92,100,100,100
24/2/2019,ZCH06L5P,ST12000NM0007,1.20E+13,1,100,100,100,100,100
24/2/2019,Z305D56S,ST4000DM000,4.00E+12,1,100,99,100,100,100
24/2/2019,ZCH0704J,ST12000NM0007,1.20E+13,1,100,100,100,100,100
24/2/2019,S300Z43B,ST4000DM000,4.00E+12,1,100,100,100,100,100
25/2/2019,ZCH0GGTT,ST12000NM0007,1.20E+13,1,99,93,100,100,100
25/2/2019,ZCH0BW5F,ST12000NM0007,1.20E+13,1,97,68,100,100,100
25/2/2019,ZCH0BWRT,ST12000NM0007,1.20E+13,1,100,100,100,100,100
25/2/2019,Z3039XWR,ST4000DM000,4.00E+12,1,100,40,100,100,100
25/2/2019,ZCH06H6M,ST12000NM0007,1.20E+13,1,100,100,100,100,100
26/2/2019,S2ZYJ9CF715326,ST500LM012 HN,5.00E+11,1,252,,,100,252
26/2/2019,ZA108H7W,ST8000DM002,8.00E+12,1,100,54,100,100,100
